Period,rurality,nb_median,nb_ci_lower,nb_ci_upper,nb_p,poisson_median,poisson_ci_lower,poisson_ci_upper,poisson_p,nb_median_hours,nb_ci_lower_hours,nb_ci_upper_hours,poisson_median_hours,poisson_ci_lower_hours,poisson_ci_upper_hours,nb_median_pct,poisson_median_pct,model
Before 2020,Rural,-9.826219107892053,-14.869599396708646,-4.507633417615492,0.0004,0.0125075677145938,-0.1007299005887473,0.1242653832992618,0.828,-235.82925858940928,-356.8703855210075,-108.1832020227718,0.3001816251502512,-2.417517614129935,2.9823691991822834,-79.90045248012314,1.4028095554407178,poisson
Before 2020,Suburban,-7.100280417538358,-15.484324609933072,1.4802600357437907,0.1072,0.0192862765678301,-0.2070683547625284,0.2474055366045697,0.862,-170.4067300209206,-371.62379063839376,35.52624085785098,0.4628706376279224,-4.969640514300682,5.937732878509673,-71.03569106939709,2.4606628724473,poisson
Before 2020,Urban,-1.6388416472647436,-2.8560915098428508,-0.4644060319162429,0.008,0.1305571823770012,0.0529612911724684,0.2084385013879577,0.0,-39.33219953435385,-68.54619623622841,-11.14574476598983,3.133372377048029,1.2710709881392417,5.002524033310984,-36.40851978334398,16.22752075310919,poisson
2020 and After,Rural,-13.917287633807826,-18.48415448898385,-9.260262673475022,0.0,0.0727709345083023,0.0005333461979639,0.144294044390127,0.049,-334.01490321138783,-443.6197077356125,-222.2463041634005,1.7465024281992552,0.0128003087511336,3.463057065363048,-84.43052059791609,11.942994545774322,poisson
2020 and After,Suburban,-7.230488621220758,-13.88880956784627,-0.396495094273276,0.0368,0.1438421422124148,0.0193728479256509,0.2640026911376328,0.022,-173.5317269092982,-333.3314296283105,-9.515882262558623,3.452211413097955,0.4649483502156215,6.336064587303188,-66.50379739207625,34.238481737884705,poisson
2020 and After,Urban,-2.869383763253332,-3.7289121485454073,-2.005130365939876,0.0,0.2921678186765097,0.2442461679633707,0.3427039893841879,0.0,-68.86521031807997,-89.49389156508977,-48.12312878255703,7.0120276482362325,5.861908031120897,8.22489574522051,-57.47163554615671,84.90319244061843,poisson
Before 2020,Rural,-9.826219107892053,-14.869599396708646,-4.507633417615492,0.0004,0.0125075677145938,-0.1007299005887473,0.1242653832992618,0.828,-235.82925858940928,-356.8703855210075,-108.1832020227718,0.3001816251502512,-2.417517614129935,2.9823691991822834,-79.90045248012314,1.4028095554407178,neg_binom
Before 2020,Suburban,-7.100280417538358,-15.484324609933072,1.4802600357437907,0.1072,0.0192862765678301,-0.2070683547625284,0.2474055366045697,0.862,-170.4067300209206,-371.62379063839376,35.52624085785098,0.4628706376279224,-4.969640514300682,5.937732878509673,-71.03569106939709,2.4606628724473,neg_binom
Before 2020,Urban,-1.6388416472647436,-2.8560915098428508,-0.4644060319162429,0.008,0.1305571823770012,0.0529612911724684,0.2084385013879577,0.0,-39.33219953435385,-68.54619623622841,-11.14574476598983,3.133372377048029,1.2710709881392417,5.002524033310984,-36.40851978334398,16.22752075310919,neg_binom
2020 and After,Rural,-13.917287633807826,-18.48415448898385,-9.260262673475022,0.0,0.0727709345083023,0.0005333461979639,0.144294044390127,0.049,-334.01490321138783,-443.6197077356125,-222.2463041634005,1.7465024281992552,0.0128003087511336,3.463057065363048,-84.43052059791609,11.942994545774322,neg_binom
2020 and After,Suburban,-7.230488621220758,-13.88880956784627,-0.396495094273276,0.0368,0.1438421422124148,0.0193728479256509,0.2640026911376328,0.022,-173.5317269092982,-333.3314296283105,-9.515882262558623,3.452211413097955,0.4649483502156215,6.336064587303188,-66.50379739207625,34.238481737884705,neg_binom
2020 and After,Urban,-2.869383763253332,-3.7289121485454073,-2.005130365939876,0.0,0.2921678186765097,0.2442461679633707,0.3427039893841879,0.0,-68.86521031807997,-89.49389156508977,-48.12312878255703,7.0120276482362325,5.861908031120897,8.22489574522051,-57.47163554615671,84.90319244061843,neg_binom
