report_month,spill_type,rurality,n_events,mean_delay,time,post_2020,time_post
2015-03-01,Historical,Urban,12,0.5,0.0,0,0.0
2015-04-01,Historical,Urban,33,1.0606060606060606,1.0333333333333334,0,0.0
2015-05-01,Historical,Urban,5,1.8,2.033333333333333,0,0.0
2015-06-01,Historical,Urban,15,0.6,3.066666666666667,0,0.0
2015-07-01,Historical,Urban,19,1.105263157894737,4.066666666666666,0,0.0
2015-08-01,Historical,Urban,25,0.72,5.1,0,0.0
2015-09-01,Historical,Urban,17,0.5882352941176471,6.133333333333334,0,0.0
2015-10-01,Historical,Urban,29,0.6896551724137931,7.133333333333334,0,0.0
2015-11-01,Historical,Urban,15,0.4666666666666667,8.166666666666666,0,0.0
2015-12-01,Historical,Urban,13,0.7692307692307693,9.166666666666666,0,0.0
2016-01-01,Historical,Urban,11,0.45454545454545453,10.2,0,0.0
2016-02-01,Historical,Urban,36,1.25,11.233333333333333,0,0.0
2016-03-01,Historical,Urban,12,1.5833333333333333,12.2,0,0.0
2016-04-01,Historical,Urban,21,1.0,13.233333333333333,0,0.0
2016-05-01,Historical,Urban,16,0.375,14.233333333333333,0,0.0
2016-06-01,Historical,Urban,25,0.84,15.266666666666667,0,0.0
2016-07-01,Historical,Urban,13,1.1538461538461537,16.266666666666666,0,0.0
2016-08-01,Historical,Urban,24,1.0,17.3,0,0.0
2016-09-01,Historical,Urban,23,0.782608695652174,18.333333333333332,0,0.0
2016-10-01,Historical,Urban,35,1.542857142857143,19.333333333333332,0,0.0
2016-11-01,Historical,Urban,15,0.8,20.366666666666667,0,0.0
2016-12-01,Historical,Urban,28,1.0714285714285714,21.366666666666667,0,0.0
2017-01-01,Historical,Urban,19,1.1578947368421053,22.4,0,0.0
2017-02-01,Historical,Urban,15,1.0,23.433333333333334,0,0.0
2017-03-01,Historical,Urban,30,0.8,24.366666666666667,0,0.0
2017-04-01,Historical,Urban,26,1.0,25.4,0,0.0
2017-05-01,Historical,Urban,15,0.9333333333333333,26.4,0,0.0
2017-06-01,Historical,Urban,28,1.0357142857142858,27.433333333333334,0,0.0
2017-07-01,Historical,Urban,14,0.42857142857142855,28.433333333333334,0,0.0
2017-08-01,Historical,Urban,15,1.0666666666666667,29.466666666666665,0,0.0
2017-09-01,Historical,Urban,43,0.7441860465116279,30.5,0,0.0
2017-10-01,Historical,Urban,18,0.7222222222222222,31.5,0,0.0
2017-11-01,Historical,Urban,13,0.6923076923076923,32.53333333333333,0,0.0
2017-12-01,Historical,Urban,14,0.35714285714285715,33.53333333333333,0,0.0
2018-01-01,Historical,Urban,7,1.0,34.56666666666667,0,0.0
2018-02-01,Historical,Urban,15,1.0666666666666667,35.6,0,0.0
2018-03-01,Historical,Urban,30,0.6,36.53333333333333,0,0.0
2018-04-01,Historical,Urban,23,0.9565217391304348,37.56666666666667,0,0.0
2018-05-01,Historical,Urban,24,0.7083333333333334,38.56666666666667,0,0.0
2018-06-01,Historical,Urban,39,1.0,39.6,0,0.0
2018-07-01,Historical,Urban,23,0.6521739130434783,40.6,0,0.0
2018-08-01,Historical,Urban,36,0.75,41.63333333333333,0,0.0
2018-09-01,Historical,Urban,33,1.3636363636363635,42.666666666666664,0,0.0
2018-10-01,Historical,Urban,21,0.8095238095238095,43.666666666666664,0,0.0
2018-11-01,Historical,Urban,47,0.5957446808510638,44.7,0,0.0
2018-12-01,Historical,Urban,24,0.7916666666666666,45.7,0,0.0
2019-01-01,Historical,Urban,29,0.7931034482758621,46.733333333333334,0,0.0
2019-02-01,Historical,Urban,29,0.9655172413793104,47.766666666666666,0,0.0
2019-03-01,Historical,Urban,21,0.2857142857142857,48.7,0,0.0
2019-04-01,Historical,Urban,19,0.3157894736842105,49.733333333333334,0,0.0
2019-05-01,Historical,Urban,11,0.18181818181818182,50.733333333333334,0,0.0
2019-06-01,Historical,Urban,17,0.47058823529411764,51.766666666666666,0,0.0
2019-07-01,Historical,Urban,9,0.4444444444444444,52.766666666666666,0,0.0
2019-08-01,Historical,Urban,15,0.7333333333333333,53.8,0,0.0
2019-09-01,Historical,Urban,21,0.0,54.833333333333336,0,0.0
2019-10-01,Historical,Urban,16,0.0,55.833333333333336,0,0.0
2019-11-01,Historical,Urban,17,0.23529411764705882,56.86666666666667,0,0.0
2019-12-01,Historical,Urban,15,0.26666666666666666,57.86666666666667,0,0.0
2020-01-01,Historical,Urban,21,0.09523809523809523,58.9,1,58.9
