spill_type,Period,rurality,pred_median,ci_lower,ci_upper
Historical,2020 and After,Rural,16.483716475095775,12.37703544061303,21.518295019157193
Historical,2020 and After,Suburban,10.872294372294373,5.610173160173164,18.61233766233766
Historical,2020 and After,Urban,4.992695502721283,4.30236321970782,5.78900028645087
Historical,Before 2020,Rural,12.298076923076906,7.912072649572654,18.09220085470084
Historical,Before 2020,Suburban,9.995370370370384,3.7777777777777826,20.807638888888945
Historical,Before 2020,Urban,4.50125865324103,3.5632315921963507,5.5840308370044
Recent,2020 and After,Rural,2.5863113264688065,2.2106829194427635,3.0118413082979982
Recent,2020 and After,Suburban,3.7234206471494593,2.57315100154083,5.109668721109397
Recent,2020 and After,Urban,2.1242200794100987,1.7101247872943852,2.648326715825294
Recent,Before 2020,Rural,2.4820067093626097,2.1189234522720333,2.883638304361082
Recent,Before 2020,Suburban,2.970654627539506,1.9139954853273113,4.404119638826183
Recent,Before 2020,Urban,2.8554714384033035,2.2628699242945594,3.5830006882312486
