contrast_type,spill_type,Period,rurality,comparison,median,ci_lower,ci_upper,p_value
Period,Historical,,Rural,Before - After,0.2764117602827311,0.15162950848434606,0.4062470235857321,0.0
Period,Historical,,Suburban,Before - After,0.36538461538461653,0.14574604189988757,0.5849992003838161,0.001
Period,Historical,,Urban,Before - After,0.4586609329592761,0.4092283066452901,0.5158414737344518,0.0
Period,Recent,,Rural,Before - After,0.2208484333698994,0.16234478809493721,0.280090515780138,0.0
Period,Recent,,Suburban,Before - After,0.23802863254895285,0.09616929954473215,0.381120070210082,0.0
Period,Recent,,Urban,Before - After,0.2985415486404179,0.22800245049959508,0.3745836583142008,0.0
SpillType,,2020 and After,Rural,Recent - Historical,0.0741556691931361,0.004211424865189661,0.14743252321887296,0.038
SpillType,,2020 and After,Suburban,Recent - Historical,0.14399257847758565,0.01829931802226303,0.26364122622271274,0.021
SpillType,,2020 and After,Urban,Recent - Historical,0.2907137007004865,0.2412791155568189,0.3423369570028581,0.0
SpillType,,Before 2020,Rural,Recent - Historical,0.019487413464827796,-0.10395835344078816,0.1311231585227802,0.763
SpillType,,Before 2020,Suburban,Recent - Historical,0.018630280766201046,-0.2184466019417477,0.24982944109157806,0.879
SpillType,,Before 2020,Urban,Recent - Historical,0.130829377379724,0.052385515416715656,0.20981495104457498,0.0
