spill_type,Period,rurality,pred_mean,ci_lower,ci_upper,n,pred_median_boot,ci_lower_boot,ci_upper_boot,pred_median_npboot,ci_lower_npboot,ci_upper_npboot
Historical,2020 and After,Rural,0.6093189964157697,0.5478743705834819,0.6776546948120998,558,0.6093189964157705,0.5465949820788535,0.6756272401433703,0.6094014436060688,0.5553568915840253,0.6660817830219199
Historical,2020 and After,Suburban,0.42011834319526453,0.3329283283724966,0.5301423977705431,169,0.42011834319526564,0.31952662721893543,0.5147928994082835,0.41966675300008693,0.32728026090675794,0.5029603729603737
Historical,2020 and After,Urban,0.3444994290064705,0.3227699462514921,0.36769178160507127,2627,0.3441187666539781,0.322421012561858,0.3669585078035776,0.34389292954822703,0.32457410165704725,0.36611843130789484
Historical,Before 2020,Rural,0.8881118881118876,0.7853397269730921,1.0043331550865073,286,0.8916083916083908,0.7797202797202806,0.9965034965035021,0.8881467439785897,0.8155973813420629,0.9586206896551719
Historical,Before 2020,Suburban,0.7837837837837845,0.6059349205795946,1.0138333323565736,74,0.7837837837837802,0.5945945945945935,0.9729729729729722,0.7852622061482826,0.6060499359795134,0.9861250000000014
Historical,Before 2020,Urban,0.8045417680454156,0.7560010921988318,0.8561991023677035,1233,0.8045417680454142,0.7534468775344686,0.8548256285482565,0.8062527856464532,0.7653433509712296,0.8452311877749464
Recent,2020 and After,Rural,0.6839481555333987,0.6486978802574822,0.7211139325318346,2006,0.6834496510468582,0.6490528414755717,0.720837487537388,0.6833498513379572,0.6526266885193902,0.7126087547820987
Recent,2020 and After,Suburban,0.5621468926553657,0.489224984417794,0.6459382472016476,354,0.5621468926553675,0.4887005649717516,0.6412429378531083,0.560903235145111,0.48759475180291617,0.6308330783353746
Recent,2020 and After,Urban,0.636728147554129,0.5939439753667028,0.6825942356556498,1247,0.6363271852445858,0.595008019246191,0.6808540497193286,0.63514634037022,0.5986054397596826,0.6704002245388925
Recent,Before 2020,Rural,0.9033877038895861,0.8579117829215046,0.9512741983327778,1594,0.9033877038895857,0.8588299874529501,0.9516938519447926,0.9045418825976796,0.8668315366730072,0.9374318792984466
Recent,Before 2020,Suburban,0.800970873786409,0.687621671804964,0.9330048294873011,206,0.8009708737864065,0.6747572815534,0.9223300970873771,0.7990649100959109,0.7055691624365492,0.8953067492613123
Recent,Before 2020,Urban,0.9354207436399179,0.8779639126262511,0.9966377376655905,1022,0.935420743639919,0.8727984344422688,0.9921722113502919,0.9356552731905163,0.8897872013126856,0.9814337133020891
