Document #,Report,Operator,Operator #,Tracking #,Initial Report Date,Date of Discovery,Spill Type,Qtr Qtr,Section,Township,range,meridian,Latitude,Longitude,Municipality,county,Facility Type,Facility ID,API County Code,API Sequence Number,Spilled outside of berms,More than five barrels spilled,Oil Spill Volume,Condensate Spill Volume,Flow Back Spill Volume,Produced Water Spill Volume,E&P Waste Spill Volume,Other Waste,Drilling Fluid Spill Volume,Current Land Use,Other Land Use,Weather Conditions,Surface Owner,Surface Owner Other,Waters of the State,Residence / Occupied Structure,livestock,Public Byway,Surface Water Supply Area,Spill Description,Supplemental Report Date,Oil BBLs Spilled,Oil BBLs Recovered,Oil Unknown,Condensate BBLs Spilled,Condensate BBLs Recovered,Condensate Unknown,Produced Water BBLs Spilled,Produced Water BBLs Recovered,Produced Water Unknown,Drilling Fluid BBLs Spilled,Drilling Fluid BBLs Recovered,Drilling Fluid Unknown,Flow Back Fluid BBLs Spilled,Flow Back Fluid BBLs Recovered,Flow Back Fluid Unkown,Other E&P Waste BBLS Spilled,Other E&P Waste BBLS Recovered,Other E&P Waste Unknown,Other E&P Waste,Spill Contained within Berm,Emergency Pit Constructed,soil,groundwater,Surface Water,Dry Drainage Feature,Surface Area Length,Surface Area Width,Depth of Impact in Feet,Depth of Impact in Inches,Area Depth Determined,Geology Description,Depth to Groundwater,Water wells in area,Water Wells,Water Wells None,Surface Water Near,Surface Water None,Wetlands,Wetlands None,Springs,Springs None,Livestock Near,Livestock None,Occupied Buildings,Occupied Buildings None,Additional Spill Details,Supplemental Report Date CA,Human Error,Equipment Failure,Historical Unkown,Other,Other Description,Root Cause,Preventative Measures,Soil Excavated,Offsite Disposal,Onsite Treatment,Other Disposition,Other Disposition Description,Ground Water Removed,Surface Water Removed,Corrective Actions Completed,Approved Form 27,Form 27 Project Number,GEOID,TRACT_NAME,total_population,white_population,hispanic_population,median_household_income,poverty_population,unemployed_population,percent_white,percent_hispanic,percent_poverty,unemployment_rate,geometry,ruca_code,ruca_description,rurality,report_delay_full_days,report_delay_winsor99,report_delay_winsor99_int,Period,spill_type
400811665,I w/S,CHEVRON USA INC,16700,400811665,2015-03-19,2012-06-04,Historical,nwne  ,19,2n    ,102w   ,6,40.132395,-108.882137,,RIO BLANCO     ,FLOWLINE,,   ,     ,Y,Y,>0 and <1,0,0,>=5 and <100,0,".37 bbl oil spilled, 47.84 bbl produced water spilled, 43bbl and .37bbl produced water recovered",0,NON-CROP LAND                      ,,85 degrees sunny                   ,OTHER (SPECIFY),chevron surface,0.0,0.0,0.0,0.0,0.0,"A leak occurred on a four inch check valve at Collection Station 12. Approximately 47. 8402 bbls of brine water and 0.3704 bbls of crude oil were released. The line was shut in immediately upon detection. Vaccum trucks removed all of the free fluid, estimated recovery is approximately 43 bbls of brine water and 0.3704 bbls of crude oil. The fluids that were picked up, were taken to the truck unloading facility at the Main Water Plant for recycling. Any impacted soil was excavated and taken to the landfarm.",03/19/2015,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,200.0,,,,soil samples,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,depths to pathways not provided by operator. ,,,,,,,,,,,,,,,,False,0.0,,08103951200,9512,2532.0,2144.0,295.0,59718.0,249.0,86.0,84.67614533965245,11.65086887835703,9.834123222748815,3.39652448657188,POINT (-108.882137 40.132395),10,Rural area,Rural,1018,173.43000000000393,173,Before 2020,Historical
400812102,I w/S,CHEVRON USA INC,16700,400812102,2015-03-19,2012-07-11,Historical,nese  ,32,2n    ,102w   ,6,40.099592,-108.861426,,RIO BLANCO     ,OTHER,,   ,     ,Y,Y,0,0,0,>=5 and <100,0,"51 bbl of produced water was spilled , 50bbls were recovered",0,NON-CROP LAND                      ,,90 deg sunny                       ,OTHER (SPECIFY),chevron surface,0.0,0.0,0.0,0.0,0.0,"This spill is being entered by COGCC staff to document a historic spill. It is believed that proper notice was give by the operator at the time of spill, but it is not discoverable in the database.                                                                                                                                  A leak occurred on a 3/4 inch bleed valve nipple at the Main Water Plant's Solids Pump. Approximately 51 bbls of brine water was released. The line was shut in immediately upon detection. Vaccum trucks removed all of the free fluid, estimated recovery is approximately 50 bbls of brine water. The fluids that were picked up, were taken to the truck unloading facility at the Main Water Plant for recycling.",03/19/2015,0.0,0.0,0.0,0.0,0.0,0.0,51.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,350.0,1.0,0.0,,depth unknown,"not reported. ""0"" reported where depths were not required at time of spill.",0.0,0.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,False,0.0,,08103951200,9512,2532.0,2144.0,295.0,59718.0,249.0,86.0,84.67614533965245,11.65086887835703,9.834123222748815,3.39652448657188,POINT (-108.861426 40.099592),10,Rural area,Rural,981,173.43000000000393,173,Before 2020,Historical
400812655,I w/S,CHEVRON USA INC,16700,400812655,2015-03-20,2012-11-06,Historical,sene  ,23,2n    ,103w   ,6,40.12979,-108.916266,,RIO BLANCO     ,FLOWLINE,,   ,     ,Y,Y,0,0,0,>=5 and <100,0,15bbl spilled,0,NON-CROP LAND                      ,,28 degrees dark                    ,FEDERAL,,0.0,0.0,0.0,0.0,0.0,"This spill is being entered by COGCC staff to document a historic spill. It is believed that proper notice was give by the operator at the time of spill, but it is not discoverable in the database.  A leak occurred on a 4"" flow line approximately 50 feet east of Collection Station 5. Approximately 15 bbls of water was released and 0 bbls of oil. The line was shut in immediately upon detection. Vaccum trucks removed all of the free fluid, estimated recovery is approximately15 bbls of brine water and 0 bbls of crude oil. The fluids that were picked up, were taken to the truck unloading facility at the Main Water Plant for recycling.",03/20/2015,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,"unknown, as This spill is being entered by COGCC staff to document a historic spill. It is believed that proper notice was give by the operator at the time of spill, but it is not discoverable in the database. ","unknown, This spill is being entered by COGCC staff to document a historic spill. It is believed that proper notice was give by the operator at the time of spill, but it is not discoverable in the database. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"This spill is being entered by COGCC staff to document a historic spill. It is believed that proper notice was give by the operator at the time of spill, but it is not discoverable in the database. ",,,,,,,,,,,,,,,,True,0.0,,08103951200,9512,2532.0,2144.0,295.0,59718.0,249.0,86.0,84.67614533965245,11.65086887835703,9.834123222748815,3.39652448657188,POINT (-108.916266 40.12979),10,Rural area,Rural,864,173.43000000000393,173,Before 2020,Historical
400813642,S,CHEVRON USA INC,16700,400811665,2015-03-19,2012-06-04,Historical,nwne  ,19,2n    ,102w   ,6,40.132395,-108.882137,,RIO BLANCO     ,FLOWLINE,,   ,     ,Y,Y,>0 and <1,0,0,>=5 and <100,0,".37 bbl oil spilled, 47.84 bbl produced water spilled, 43bbl and .37bbl produced water recovered",0,NON-CROP LAND                      ,,85 degrees sunny                   ,OTHER (SPECIFY),chevron surface,0.0,0.0,0.0,0.0,0.0,"A leak occurred on a four inch check valve at Collection Station 12. Approximately 47. 8402 bbls of brine water and 0.3704 bbls of crude oil were released. The line was shut in immediately upon detection. Vaccum trucks removed all of the free fluid, estimated recovery is approximately 43 bbls of brine water and 0.3704 bbls of crude oil. The fluids that were picked up, were taken to the truck unloading facility at the Main Water Plant for recycling. Any impacted soil was excavated and taken to the landfarm.",03/19/2015,,0.0,0.0,0.0,0.0,0.0,47.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"form would not allow actual volume of fluids entered, vol should be .3704",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,zeros were entered as measurements are unknown. ,zeros were entered as measurements are unknown. ,0.0,0.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,False,0.0,,08103951200,9512,2532.0,2144.0,295.0,59718.0,249.0,86.0,84.67614533965245,11.65086887835703,9.834123222748815,3.39652448657188,POINT (-108.882137 40.132395),10,Rural area,Rural,1018,173.43000000000393,173,Before 2020,Historical
400814168,S,CHEVRON USA INC,16700,400811665,2015-03-19,2012-06-04,Historical,nwne  ,19,2n    ,102w   ,6,40.132395,-108.882137,,RIO BLANCO     ,FLOWLINE,,   ,     ,Y,Y,>0 and <1,0,0,>=5 and <100,0,".37 bbl oil spilled, 47.84 bbl produced water spilled, 43bbl and .37bbl produced water recovered",0,NON-CROP LAND                      ,,85 degrees sunny                   ,OTHER (SPECIFY),chevron surface,0.0,0.0,0.0,0.0,0.0,"A leak occurred on a four inch check valve at Collection Station 12. Approximately 47. 8402 bbls of brine water and 0.3704 bbls of crude oil were released. The line was shut in immediately upon detection. Vaccum trucks removed all of the free fluid, estimated recovery is approximately 43 bbls of brine water and 0.3704 bbls of crude oil. The fluids that were picked up, were taken to the truck unloading facility at the Main Water Plant for recycling. Any impacted soil was excavated and taken to the landfarm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.0,,08103951200,9512,2532.0,2144.0,295.0,59718.0,249.0,86.0,84.67614533965245,11.65086887835703,9.834123222748815,3.39652448657188,POINT (-108.882137 40.132395),10,Rural area,Rural,1018,173.43000000000393,173,Before 2020,Historical
400832864,I w/S,PDC ENERGY INC,69175,400832864,2015-04-29,2013-04-07,Historical,NENE  ,17,6N    ,65W    ,6,40.490596,-104.67887,,WELD           ,TANK BATTERY,333327.0,   ,     ,Y,N,Unknown,Unknown,0,Unknown,0,,0,CROP LAND                          ,,"80s, Sunny                         ",FEE,,0.0,0.0,0.0,0.0,0.0,"On April 8, 2013, a historic release was discovered below the produced water vessel at the Noffsinger 1-17 production facility. The lateral and vertical extent of the excavation was determined by field screening of volatile organic compound (VOC) concentrations using a photoionization detector (PID). Approximately 100 cubic yards of impacted material were removed and transported to the Waste Management Facility in Ault, Colorado for disposal. Groundwater was not encountered during excavation activities. At the time of the release, the COGCC did not require a 72-hour notification of historic impacts if groundwater was not encountered. In addition, a Form 27 P&A request was considered sufficient in providing historic spill information, excavation, and environmental sampling activities. Consequently, a Form 19 was not submitted in 2013 following the release discovery.",05/29/2015,0.0,0.0,0.0,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,20.0,12.0,20.0,,"Excavation activities were completed on April 8, 2013, following the discovery of a historic release below the produced water vessel during plug and abandonment activities. Approximately 100 cubic yards of impacted material were removed and transported to the Waste Management Facility in Ault, Colorado for disposal. Soil samples were collected from the base and sidewalls of the excavation area at approximately 20 feet and 15 feet below ground surface (bgs), respectively. Samples were submitted to Summit Scientific Laboratories (Summit) in Golden, Colorado for analysis of benzene, toluene, ethylbenzene, and total xylenes (BTEX), naphthalene, and total petroleum hydrocarbons (TPH) - gasoline range organics (GRO) by USEPA Method 8260B, and TPH - diesel range organics (DRO) by USEPA Method 8015. Analytical results indicated constituent concentrations were in exceedance of COGCC Table 910-1 standards in soil samples collected from the south sidewall (SS03), west sidewall (SS04), and base (SS05). On September 24, 2014, a sub-surface investigation was completed to confirm attenuation of petroleum hydrocarbon impacts within the former excavation extent. Three boreholes (BH06-BH08) were advanced in the former locations of excavation soil samples SS03 - SS05, which exhibited constituent concentrations above regulatory standards. Soil samples were collected from BH06 at 20 feet bgs (previously SS05) and BH07 and BH08 at 12 feet bgs (previously SS04 and SS03, respectively). Analytical results indicated constituent concentrations were below regulatory standards in the three soil sample locations. Borehole locations and former excavation soil sample locations are illustrated on Figure 3. Soil analytical data is summarized in Table 1, laboratory analytical reports are included as Attachment A, and boring logs are included as Attachment B. ","Kim loam, 0 to 1 percent slopes",38.0,14.0,165.0,0.0,1293.0,0.0,,1.0,,1.0,,1.0,170.0,0.0,"Based on the soil analytical data provided herein, no remaining hydrocarbon impacts above regulatory standards are present in the area of soil samples SS03 - SS05. Consequently, PDC is requesting a produced water vault closure and a No Further Action (NFA) determination for this release. ",2015-05-29,0.0,0.0,1.0,0.0,,A historic release was discovered below the produced water vessel during plug and abandonment activities. ,The production facility was not rebuilt. ,100.0,1.0,0.0,0.0,,0.0,0.0,False,1.0,9110.0,08123001500,15,7464.0,6557.0,1965.0,93090.0,518.0,131.0,87.84833869239014,26.326366559485532,6.939978563772777,1.755091103965702,POINT (-104.67887 40.490596),7,Small town core,Rural,752,173.43000000000393,173,Before 2020,Historical
400836196,I w/S,KERR MCGEE OIL & GAS ONSHORE LP,47120,400836196,2015-05-06,2014-03-28,Historical,NESW  ,18,4N    ,67W    ,6,40.311754,-104.934646,,WELD           ,WELL,,123,26181,N,N,Unknown,0,0,Unknown,0,Approximately 0.25 bbls of oil and produced water / historical impacts.,0,CROP LAND                          ,,"55° F, clear                       ",FEE,,1.0,0.0,0.0,0.0,0.0,"An operator discovered oil releasing from a hammer union on the Starck 11-18 wellhead. An estimated 0.25 bbl of oil and produced water were released onto the ground surface. While excavating the hammer union oil release, soil with historical petroleum hydrocarbon impacts was encountered. The volume of the historical release is unknown. The petroleum hydrocarbon impacted soil was excavated from around the wellhead.  Groundwater was encountered in the excavation at approximately 12 feet bgs.  Laboratory analytical results received on March 28, 2014, confirmed benzene impacts to groundwater exceeding the CGWQS.  A topographic Site Location Map showing the general location of the release is attached as Figure 1.",05/06/2015,,,1.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Approximately 0.25 bbls of oil and produced water / historical impacts.,0.0,0.0,1.0,1.0,0.0,0.0,20.0,10.0,13.0,,"Soil and groundwater samples were collected from the excavation for laboratory analysis.   Laboratory results for the confirmation soil samples indicate that TPH and BTEX concentrations are below COGCC allowable levels at the extent of the excavation.  Laboratory results for the initial excavation groundwater sample (GW01) indicated that the benzene concentration exceeded the CGWQS at a concentration of 79.7 µg/L.  Approximately 95 cubic yards of impacted soil were removed from the excavation and transported to the Front Range Regional Landfill in Erie, Colorado for disposal.  Approximately 120 bbls of impacted groundwater were removed from the excavation using a vacuum truck and transported to a licensed injection facility for disposal.  A second groundwater sample (GW02) was collected from the excavation after impacted groundwater was removed.  Laboratory results for groundwater sample GW02 indicate that the benzene concentration continues to exceed CGWQS at a concentration of 74.8 µg/L.  The general site layout, excavation dimensions, and soil and groundwater sample locations are shown on the attached Figure 2.  The soil and groundwater sample analytical results are summarized in Tables 1 and 2, respectively.  The laboratory analytical reports are attached.  ",Sandy Clay,12.0,5.0,1950.0,0.0,400.0,0.0,400.0,0.0,,1.0,,1.0,850.0,0.0,"Prior to backfilling the excavation, 50 pounds of BOS 200®, a carbon-based groundwater remediation product, were applied to the groundwater in the open excavation.  Groundwater monitoring wells will be installed at the site to determine the extent and magnitude of groundwater impacts.",2015-05-06,0.0,0.0,1.0,0.0,,"An operator discovered oil releasing from a hammer union on the Starck 11-18 wellhead. An estimated 0.25 bbl of oil and produced water were released onto the ground surface. While excavating the hammer union oil release, soil with historical petroleum hydrocarbon impacts was encountered. The volume of the historical release is unknown. The petroleum hydrocarbon impacted soil was excavated from around the wellhead.  ",The hammer union was repaired.,95.0,1.0,0.0,0.0,,120.0,0.0,False,1.0,9046.0,08123002108,21.08,7339.0,6188.0,1349.0,108415.0,683.0,306.0,84.31666439569425,18.38125085161466,9.30644501975746,4.16950538220466,POINT (-104.934646 40.311754),3,Metropolitan low commuting,Urban,404,173.43000000000393,173,Before 2020,Historical
400839818,I,BEREN CORPORATION,7800,400839818,2015-05-14,2014-01-06,Recent,SENE  ,2,3S    ,56W    ,6,39.822589,-103.613976,,WASHINGTON     ,TANK BATTERY,,,,N,N,0,0,0,Unknown,0,,0,NON-CROP LAND                      ,,Winter                             ,OTHER (SPECIFY),Private,0.0,0.0,0.0,0.0,0.0,"COGCC staff alleges the produced water pits overtopped which resulted in the release of produced water.  Beren Corporation asserts the produced water pits did not fail or overtop and release any produced water; however, Beren will perform those remediation activities described herein while maintaining its oil and gas operations did not adversely impact the subject lands. Corrective actions proposed are to (1) seed the subject lands and construct fence to protect growth on lands through reclamation, (2) install free board monitoring system on produced water pits.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,,08121924100,9241,2081.0,1968.0,196.0,56875.0,220.0,40.0,94.56991830850554,9.418548774627583,10.571840461316674,1.9221528111484865,POINT (-103.613976 39.822589),10,Rural area,Rural,493,173.43000000000393,173,Before 2020,Recent
400854146,I w/S,CHEVRON USA INC,16700,400854146,2015-06-16,2012-07-02,Historical,SENW  ,36,2N    ,102W   ,6,40.101366,-108.793873,,RIO BLANCO     ,WELL PAD,,103,06301,Y,Y,0,0,0,>=100,0,,0,NON-CROP LAND                      ,,75 DEGREES AND SUNNY               ,FEDERAL,,0.0,0.0,0.0,0.0,0.0,"A leak occurred on a 3 inch cement lined steel pipe approximately 379 feet Northwest of FV Larson B-5. Approximately 289 bbls of brine water was released. Operations shut in the lateral to FV Larson B-5 as well as the Demco to FV Larson B-11 to stop the flow of liquids. Vaccum trucks removed all of the free fluid, estimated recovery is approximately 280 bbls of brine water. The fluids that were picked up, were taken to the truck unloading facility at the Main Water Plant for recycling",06/16/2015,0.0,0.0,0.0,0.0,0.0,0.0,289.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,379.0,0.0,0.0,,chevron area worksheet and lab analytical,silty clay,45.0,2.0,1676.0,0.0,1949.0,0.0,1949.0,0.0,,1.0,,1.0,2248.0,0.0,,,,,,,,,,,,,,,,,True,0.0,,08103951200,9512,2532.0,2144.0,295.0,59718.0,249.0,86.0,84.67614533965245,11.65086887835703,9.834123222748815,3.39652448657188,POINT (-108.793873 40.101366),10,Rural area,Rural,1079,173.43000000000393,173,Before 2020,Historical
400877771,I w/S,MONUMENT GLOBAL RESOURCES INC,10430,400877771,2015-07-31,2014-05-14,Historical,nwnw  ,2,34N   ,20W    ,N,37.239123,-109.024504,,MONTEZUMA      ,TANK BATTERY,,083,05148,N,N,>0 and <1,0,0,0,0,,0,OTHER                              ,Dry land,unknown                            ,FEE,,0.0,0.0,0.0,0.0,0.0,"During May of 2014 it was noted and reported to Monument Global by Tracey Perfors of the BLM that an above ground storage tank that was within close proximity to the McElmo Creek had suffered a weep of oil from the manway access point. This was an old and unused tank. On 27th June 2014 the tank was dismantled and removed from the location and taken to a salvage yard in Cortez CO, The berm surrounding the tank was knocked down and the material taken to the central battery area. All liquids contained within the tank was removed by a vac truck and taken t the central battery and divided into the oil or water tanks as applicable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,2495342.0,08083969200,9692,2459.0,2404.0,81.0,66683.0,330.0,26.0,97.76331842212281,3.294021960146401,13.420089467263116,1.0573403822692151,POINT (-109.024504 37.239123),10,Rural area,Rural,443,173.43000000000393,173,Before 2020,Historical
