Document #,Report,Operator,Operator #,Tracking #,Initial Report Date,Date of Discovery,Spill Type,Qtr Qtr,Section,Township,range,meridian,Latitude,Longitude,Municipality,county,Facility Type,Facility ID,API County Code,API Sequence Number,Spilled outside of berms,More than five barrels spilled,Oil Spill Volume,Condensate Spill Volume,Flow Back Spill Volume,Produced Water Spill Volume,E&P Waste Spill Volume,Other Waste,Drilling Fluid Spill Volume,Current Land Use,Other Land Use,Weather Conditions,Surface Owner,Surface Owner Other,Waters of the State,Residence / Occupied Structure,livestock,Public Byway,Surface Water Supply Area,Spill Description,Supplemental Report Date,Oil BBLs Spilled,Oil BBLs Recovered,Oil Unknown,Condensate BBLs Spilled,Condensate BBLs Recovered,Condensate Unknown,Produced Water BBLs Spilled,Produced Water BBLs Recovered,Produced Water Unknown,Drilling Fluid BBLs Spilled,Drilling Fluid BBLs Recovered,Drilling Fluid Unknown,Flow Back Fluid BBLs Spilled,Flow Back Fluid BBLs Recovered,Flow Back Fluid Unkown,Other E&P Waste BBLS Spilled,Other E&P Waste BBLS Recovered,Other E&P Waste Unknown,Other E&P Waste,Spill Contained within Berm,Emergency Pit Constructed,soil,groundwater,Surface Water,Dry Drainage Feature,Surface Area Length,Surface Area Width,Depth of Impact in Feet,Depth of Impact in Inches,Area Depth Determined,Geology Description,Depth to Groundwater,Water wells in area,Water Wells,Water Wells None,Surface Water Near,Surface Water None,Wetlands,Wetlands None,Springs,Springs None,Livestock Near,Livestock None,Occupied Buildings,Occupied Buildings None,Additional Spill Details,Supplemental Report Date CA,Human Error,Equipment Failure,Historical Unkown,Other,Other Description,Root Cause,Preventative Measures,Soil Excavated,Offsite Disposal,Onsite Treatment,Other Disposition,Other Disposition Description,Ground Water Removed,Surface Water Removed,Corrective Actions Completed,Approved Form 27,Form 27 Project Number,GEOID,TRACT_NAME,total_population,white_population,hispanic_population,median_household_income,poverty_population,unemployed_population,percent_white,percent_hispanic,percent_poverty,unemployment_rate,geometry,ruca_code,ruca_description,rurality,report_delay_full_days,trim_remove
400811665,I w/S,CHEVRON USA INC,16700,400811665,2015-03-19,2012-06-04,Historical,nwne  ,19,2n    ,102w   ,6,40.132395,-108.882137,,RIO BLANCO     ,FLOWLINE,,   ,     ,Y,Y,>0 and <1,0,0,>=5 and <100,0,".37 bbl oil spilled, 47.84 bbl produced water spilled, 43bbl and .37bbl produced water recovered",0,NON-CROP LAND                      ,,85 degrees sunny                   ,OTHER (SPECIFY),chevron surface,0.0,0.0,0.0,0.0,0.0,"A leak occurred on a four inch check valve at Collection Station 12. Approximately 47. 8402 bbls of brine water and 0.3704 bbls of crude oil were released. The line was shut in immediately upon detection. Vaccum trucks removed all of the free fluid, estimated recovery is approximately 43 bbls of brine water and 0.3704 bbls of crude oil. The fluids that were picked up, were taken to the truck unloading facility at the Main Water Plant for recycling. Any impacted soil was excavated and taken to the landfarm.",03/19/2015,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,200.0,,,,soil samples,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,depths to pathways not provided by operator. ,,,,,,,,,,,,,,,,False,0.0,,08103951200,9512,2532.0,2144.0,295.0,59718.0,249.0,86.0,84.67614533965245,11.65086887835703,9.834123222748815,3.39652448657188,POINT (-108.882137 40.132395),10,Rural area,Rural,1018,True
400812102,I w/S,CHEVRON USA INC,16700,400812102,2015-03-19,2012-07-11,Historical,nese  ,32,2n    ,102w   ,6,40.099592,-108.861426,,RIO BLANCO     ,OTHER,,   ,     ,Y,Y,0,0,0,>=5 and <100,0,"51 bbl of produced water was spilled , 50bbls were recovered",0,NON-CROP LAND                      ,,90 deg sunny                       ,OTHER (SPECIFY),chevron surface,0.0,0.0,0.0,0.0,0.0,"This spill is being entered by COGCC staff to document a historic spill. It is believed that proper notice was give by the operator at the time of spill, but it is not discoverable in the database.                                                                                                                                  A leak occurred on a 3/4 inch bleed valve nipple at the Main Water Plant's Solids Pump. Approximately 51 bbls of brine water was released. The line was shut in immediately upon detection. Vaccum trucks removed all of the free fluid, estimated recovery is approximately 50 bbls of brine water. The fluids that were picked up, were taken to the truck unloading facility at the Main Water Plant for recycling.",03/19/2015,0.0,0.0,0.0,0.0,0.0,0.0,51.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,350.0,1.0,0.0,,depth unknown,"not reported. ""0"" reported where depths were not required at time of spill.",0.0,0.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,False,0.0,,08103951200,9512,2532.0,2144.0,295.0,59718.0,249.0,86.0,84.67614533965245,11.65086887835703,9.834123222748815,3.39652448657188,POINT (-108.861426 40.099592),10,Rural area,Rural,981,True
400812655,I w/S,CHEVRON USA INC,16700,400812655,2015-03-20,2012-11-06,Historical,sene  ,23,2n    ,103w   ,6,40.12979,-108.916266,,RIO BLANCO     ,FLOWLINE,,   ,     ,Y,Y,0,0,0,>=5 and <100,0,15bbl spilled,0,NON-CROP LAND                      ,,28 degrees dark                    ,FEDERAL,,0.0,0.0,0.0,0.0,0.0,"This spill is being entered by COGCC staff to document a historic spill. It is believed that proper notice was give by the operator at the time of spill, but it is not discoverable in the database.  A leak occurred on a 4"" flow line approximately 50 feet east of Collection Station 5. Approximately 15 bbls of water was released and 0 bbls of oil. The line was shut in immediately upon detection. Vaccum trucks removed all of the free fluid, estimated recovery is approximately15 bbls of brine water and 0 bbls of crude oil. The fluids that were picked up, were taken to the truck unloading facility at the Main Water Plant for recycling.",03/20/2015,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,"unknown, as This spill is being entered by COGCC staff to document a historic spill. It is believed that proper notice was give by the operator at the time of spill, but it is not discoverable in the database. ","unknown, This spill is being entered by COGCC staff to document a historic spill. It is believed that proper notice was give by the operator at the time of spill, but it is not discoverable in the database. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"This spill is being entered by COGCC staff to document a historic spill. It is believed that proper notice was give by the operator at the time of spill, but it is not discoverable in the database. ",,,,,,,,,,,,,,,,True,0.0,,08103951200,9512,2532.0,2144.0,295.0,59718.0,249.0,86.0,84.67614533965245,11.65086887835703,9.834123222748815,3.39652448657188,POINT (-108.916266 40.12979),10,Rural area,Rural,864,True
400813642,S,CHEVRON USA INC,16700,400811665,2015-03-19,2012-06-04,Historical,nwne  ,19,2n    ,102w   ,6,40.132395,-108.882137,,RIO BLANCO     ,FLOWLINE,,   ,     ,Y,Y,>0 and <1,0,0,>=5 and <100,0,".37 bbl oil spilled, 47.84 bbl produced water spilled, 43bbl and .37bbl produced water recovered",0,NON-CROP LAND                      ,,85 degrees sunny                   ,OTHER (SPECIFY),chevron surface,0.0,0.0,0.0,0.0,0.0,"A leak occurred on a four inch check valve at Collection Station 12. Approximately 47. 8402 bbls of brine water and 0.3704 bbls of crude oil were released. The line was shut in immediately upon detection. Vaccum trucks removed all of the free fluid, estimated recovery is approximately 43 bbls of brine water and 0.3704 bbls of crude oil. The fluids that were picked up, were taken to the truck unloading facility at the Main Water Plant for recycling. Any impacted soil was excavated and taken to the landfarm.",03/19/2015,,0.0,0.0,0.0,0.0,0.0,47.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"form would not allow actual volume of fluids entered, vol should be .3704",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,zeros were entered as measurements are unknown. ,zeros were entered as measurements are unknown. ,0.0,0.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,False,0.0,,08103951200,9512,2532.0,2144.0,295.0,59718.0,249.0,86.0,84.67614533965245,11.65086887835703,9.834123222748815,3.39652448657188,POINT (-108.882137 40.132395),10,Rural area,Rural,1018,True
400814168,S,CHEVRON USA INC,16700,400811665,2015-03-19,2012-06-04,Historical,nwne  ,19,2n    ,102w   ,6,40.132395,-108.882137,,RIO BLANCO     ,FLOWLINE,,   ,     ,Y,Y,>0 and <1,0,0,>=5 and <100,0,".37 bbl oil spilled, 47.84 bbl produced water spilled, 43bbl and .37bbl produced water recovered",0,NON-CROP LAND                      ,,85 degrees sunny                   ,OTHER (SPECIFY),chevron surface,0.0,0.0,0.0,0.0,0.0,"A leak occurred on a four inch check valve at Collection Station 12. Approximately 47. 8402 bbls of brine water and 0.3704 bbls of crude oil were released. The line was shut in immediately upon detection. Vaccum trucks removed all of the free fluid, estimated recovery is approximately 43 bbls of brine water and 0.3704 bbls of crude oil. The fluids that were picked up, were taken to the truck unloading facility at the Main Water Plant for recycling. Any impacted soil was excavated and taken to the landfarm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.0,,08103951200,9512,2532.0,2144.0,295.0,59718.0,249.0,86.0,84.67614533965245,11.65086887835703,9.834123222748815,3.39652448657188,POINT (-108.882137 40.132395),10,Rural area,Rural,1018,True
400815378,I,GRYNBERG* JACK DBA GRYNBERG PETROLEUM CO,36200,400815378,2015-03-26,2015-03-12,Historical,SWNW  ,32,8S    ,103W   ,6,39.320996,-108.915499,,MESA           ,WELL,,077,08329,N,Y,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,NON-CROP LAND                      ,,Clear                              ,FEDERAL,,0.0,0.0,0.0,0.0,0.0,"This location has one lined blowdown pit which was utilized to contain fluids when the well was in production. Prior to being lined it was also utilized to contain production fluids, and due to the lack of lining, those fluids infiltrated into the underlying soil in unknown volumes. Remediation of the pit is underway, please refer to approved Form 27 Remediation Workplan # 8943.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,,08077001502,15.02,8065.0,7452.0,667.0,83684.0,493.0,237.0,92.39925604463733,8.270303781773093,6.1128332300062,2.9386236825790455,POINT (-108.915499 39.320996),2,Metropolitan high commuting,Urban,14,True
400821920,I,EE3 LLC,10450,400821920,2015-04-08,2015-03-13,Recent,NENW  ,32,8N    ,80W    ,6,40.627795,-106.397892,,JACKSON        ,WELL,,057,06523,N,N,>0 and <1,0,0,0,0,,0,OTHER                              ,Well Pad,Spill occured inside a building    ,FEE,,0.0,0.0,0.0,0.0,0.0,A hose broke on the Grizzly #03-32H jet pump. Whilst the pump was shutting down less than one barrel of power fluid (oil) was released into the pumphouse. The pumphouse on the Grizzly #03-32H location is situated on a rubber mat ensuring that any fluid released was contained and did not penetrate the soil. Any free oil was picked up with a vacuum truck and transferred back through the production facilities on the location.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,2144975.0,08057955600,9556,1375.0,1331.0,111.0,44667.0,200.0,61.0,96.8,8.072727272727272,14.545454545454545,4.4363636363636365,POINT (-106.397892 40.627795),10,Rural area,Rural,26,True
400824314,I,WINDSOR ENERGY GROUP LLC,10081,400824314,2015-04-13,2015-02-20,Recent,NENE  ,9,1N    ,102W   ,6,40.07566,-108.84626,,RIO BLANCO     ,WELL,,103,05344,N,N,>0 and <1,0,0,0,0,,0,NON-CROP LAND                      ,,"Clear, 65 degrees, 0-5 mph breeze  ",FEDERAL,BLM,0.0,0.0,0.0,0.0,0.0,"Oil well stuffing box leak over time, small seepage/ slow leak.  Well was shut in and pumper removed liquid on first day noted 2-20-15.  Spill was contained within existing berm around well head.  The pump jack was realigned and gaskets were replaced.  The unit was repaired.  Oil impacted soils from around well head were removed to Rio Blanco County Landfill at Wray Gulch.  Initial soil sampling and chemical testing was performed on oil impacted soils for acceptance at landfill (results attached).  Chemical testing of excavation limit is in progress and these results will be submitted on completion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,,08103951200,9512,2532.0,2144.0,295.0,59718.0,249.0,86.0,84.67614533965245,11.65086887835703,9.834123222748815,3.39652448657188,POINT (-108.84626 40.07566),10,Rural area,Rural,52,True
400834006,I,KERR MCGEE OIL & GAS ONSHORE LP,47120,400834006,2015-04-30,2015-04-24,Historical,NESW  ,33,3N    ,66W    ,6,40.178012,-104.78565,,WELD           ,TANK BATTERY,317596.0,   ,     ,Y,N,0,Unknown,0,Unknown,0,,0,NON-CROP LAND                      ,,"80s, Sunny                         ",FEE,,0.0,0.0,0.0,0.0,0.0,"On April 30, 2015, a historical release was discovered during site deconstruction activities at the UPRR 22 Pan Am B 63N66W production facility. Excavation activities are on-going and groundwater has not been encountered. Excavation and confirmation sampling activities will be summarized in a subsequent Supplemental Form 19.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,,08123001800,18,4681.0,3690.0,1658.0,85561.0,273.0,186.0,78.82930997650075,35.41978209784234,5.832087160863064,3.9735099337748347,POINT (-104.78565 40.178012),3,Metropolitan low commuting,Urban,6,True
400826699,I w/S,KERR MCGEE GATHERING LLC,47121,400826699,2015-04-16,2015-04-06,Historical,NENE  ,4,1N    ,68W    ,6,40.087304,-105.001161,,WELD           ,PIPELINE,,   ,     ,Y,N,0,Unknown,0,0,0,,0,NON-CROP LAND                      ,,"60's, Sunny.                       ",FEE,,0.0,0.0,0.0,0.0,0.0,"On April 14, 2015, historical impacts were discovered during repairs and maintenance on the 38-0000-5140-3"" Platte Valley Gathering Line. Approximately 300 cubic yards of impacted material have been excavated and transported to the Front Range Regional Landfill located in Erie, Colorado for disposal. Excavation activities are on-going at this location.",04/17/2015,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,40.0,40.0,10.0,,"On April 14, 2015, historical impacts were discovered during repairs and maintenance at the 38-0000-5140-3"" Platte Valley Gathering Line. Approximately 740 cubic yards of impacted material were removed and transported to the Front Range Regional Landfill in Erie, Colorado for disposal. The vertical and lateral extents of the excavation area were determined by field screening of volatile organic compound (VOC) concentrations using a photoionization detector (PID). 10 soil samples were collected from the base and sidewalls of the final extent of the excavation area at approximately 10 feet and 8 feet below ground surface (bgs), respectively. Soil samples were submitted to Origins Laboratory in Denver, Colorado for analysis of benzene, toluene, ethylbenzene, and total xylenes (BTEX) and total petroleum hydrocarbon (TPH) - gasoline range organics (GRO) by USEPA Method 8260B, TPH - diesel range organics (DRO) and TPH - oil range organics (ORO) by USEPA Method 8015, and electrical conductivity (EC), and pH. Analytical results indicated that constituent concentrations in the soil samples collected from the excavation area were below applicable COGCC Table 910-1 standards. The excavation area was backfilled and re-contoured to match pre-existing conditions. Based on soil analytical results, remaining hydrocarbon impacts above regulatory standards have been successfully mitigated. Consequently, Kerr-McGee is requesting a No Further Action (NFA) determination for this location. Analytical results are summarized in Table 1 and the excavation extent and soil sample locations are illustrated on the attached Figure 2.",Clay to sandy clay.,12.0,18.0,555.0,0.0,2230.0,0.0,,1.0,,1.0,,1.0,1100.0,0.0,,2015-04-17,0.0,1.0,0.0,0.0,,A historical release was discovered during routine maintenance activities.,The gathering line was flushed and repaired.,740.0,1.0,0.0,0.0,,0.0,0.0,True,0.0,,08123002009,20.09,5144.0,4449.0,312.0,150927.0,55.0,76.0,86.48911353032659,6.065318818040436,1.0692068429237946,1.4774494556765163,POINT (-105.001161 40.087304),1,Metropolitan core,Urban,10,True
